"name
(ranked by # of front page stories)",Outlet,usable (as individual),tiktok handle,url,followers,notes,"journalist as creator info (if they produce videos under an outlet's masthead, list the outlet's handle)",X handle (for reference)
Natalie Andrews,Wall Street Journal,,,,,,,@nataliewsj
Katie Johnston,Boston Globe,,,,,,,@ktkjohnston
Cleve R. Wootson Jr.,Washington Post +1,,,,,,,@CleveWootson
Gordon Rayner,Daily Telegraph,,,,,,,@gordonrayner
Rachel Roubein,Washington Post,,,,,,,@rachel_roubein
Emma Platoff,Boston Globe,,,,,,,@emmaplatoff
Andrew Ackerman,Washington Post +1,,,,,,,@amacker
Zolan Kanno-Youngs,New York Times +2,,,,,,,@KannoYoungs
Michael R. Gordon,Wall Street Journal,,,,,,,@mgordonwsj
Alfred Lubrano,Philadelphia Inquirer,,,,,,,@AlfredLubrano
Sarah Ritter,Minnesota Star Tribune,,,,,,,@sarah_ritter
Helen Rummel,Arizona Republic,,,,,,,@helenrummel
Michael Gold,New York Times +1,,,,,,,@migold
Erin Adler,Minnesota Star Tribune,,,,,,,@erinstrib
Jared Malsin,Wall Street Journal,,,,,,,@jmalsin
William Christou,The Guardian,,,,,,,@will_christou
Kate Linthicum,Los Angeles Times,,,,,,,@katelinthicum
Gavin J. Quinton,Los Angeles Times,,,,,,,@GavinJQuinton
Harry Brennan,Daily Telegraph +1,,,,,,,@_Harry_Brennan_
Salvador Rizzo,Washington Post,,,,,,,@rizzoTK
Lane Degregory,Tampa Bay Times,,,,,,,@LaneDeGregory
Roger Vincent,Los Angeles Times,,,,,,,@rogervincent
Jesse Bunch,Philadelphia Inquirer,,,,,,,@JesseBunch_
Aliya Schneider,Philadelphia Inquirer,,,,,,,@aliyareports
Peter Dobrin,Philadelphia Inquirer,,,,,,,@InquirerPeter
Anna Isaac,The Guardian,,,,,,,@Annaisaac
Seung Min Kim,Associated Press +6,,,,,,,@seungminkim
Henry Foy,Financial Times,,,,,,,@HenryJFoy
Alice Hancock,Financial Times,,,,,,,@alicemhancock
Andrew Brinker,Boston Globe,,,,,,,@andrewnbrinker
Abbie Vansickle,New York Times +3,,,,,,,@AbbieVanSickle
James Queally,Los Angeles Times,,,,,,,@JamesQueallyLAT
Rozina Sabur,Daily Telegraph +1,,,,,,,@RozinaSabur
Gavin Bade,Wall Street Journal,,,,,,,@GavinBade
Martin Evans,Daily Telegraph +1,,,,,,,@evansma
Sofia Barnett,Minnesota Star Tribune,,,,,,,@_sofiabarnett
Patrick J. McDonnell,Los Angeles Times,,,,,,,@PmcdonnellLAT
Luke Broadwater,New York Times +1,,,,,,,@lukebroadwater
Haajrah Gilani,Houston Chronicle,,,,,,,@haajrahgilani
Andrea Castillo,Los Angeles Times,,,,,,,@andreamcastillo
Lauren Kaori Gurley,Washington Post +1,,,,,,,@laurenkgurley
Greta Kaul,Minnesota Star Tribune,,,,,,,@gretakaul
Mary Clare Jalonick,Houston Chronicle +3,,,,,,,@MCJalonick
Catherine Carlock,Boston Globe,,,,,,,@bycathcarlock
Megan Kimble,Houston Chronicle,,,,,,,@megankimble
Kristoffer Tigue,Minnesota Star Tribune,,,,,,,@krtigue
Andrew Roth,The Guardian,,,,,,,@Andrew__Roth
Corrie Driebusch,Wall Street Journal,,,,,,,@cdriebusch
James Politi,Financial Times,,,,,,,@JamesPoliti
Evan Halper,Washington Post +1,,,,,,,@evanhalper
Pieter Snepvangers,Daily Telegraph,,,,,,,@pietersnep
Julian Gill,Houston Chronicle,,,,,,,@JulianGi11
John R. Ellement,Boston Globe,,,,,,,@JREbosglobe
Eric Lipton,New York Times,,,,,,,@EricLiptonNYT
Janelle Nanos,Boston Globe,,,,,,,@janellenanos
Laura Crimaldi,Boston Globe,,,,,,,@lauracrimaldi
Mariana Simões,Boston Globe,,,,,,,@MariRebuaSimoes
David A. Fahrenthold,New York Times +1,,,,,,,@Fahrenthold
Hannah Furness,Daily Telegraph +1,,,,,,,@Hannah_Furness
Steve Hendrix,Washington Post +1,,,,,,,@SBHendrix
Rebecca Liebson,Tampa Bay Times,,,,,,,@RebeccaLiebson
Zachary Schermele,Arizona Republic,,,,,,,@ZachSchermele
Laura Rodríguez Presa,Chicago Tribune,,,,,,,@LAURA_N_ROD
Shannon Larson,Boston Globe,,,,,,,@shannonlarson98
Matt Breen,Philadelphia Inquirer,,,,,,,@matt_breen
Becky Peterson,Wall Street Journal,,,,,,,@beckpeterson
Kate Duguid,Financial Times,,,,,,,@kateduguid
Brittny Mejia,Los Angeles Times,,,,,,,@brittny_mejia
Clara Harter,Los Angeles Times,,,,,,,@_ClaraHarter
Thao Nguyen,Arizona Republic,,,,,,,@thaonguyen_
Kana Inagaki,Financial Times,,,,,,,@KanaInagaki
Natanya Friedheim,Tampa Bay Times,,,,,,,@NatanyaAntoni
Josh Halliday,The Guardian,,,,,,,@JoshHalliday
